@relation noProbing_imputation

@attribute dataset_id numeric
@attribute AutoCorrelation numeric
@attribute CardinalityAtFour numeric
@attribute CardinalityAtThree numeric
@attribute CardinalityAtTwo numeric
@attribute Dimensionality numeric
@attribute MajorityClassPercentage numeric
@attribute MajorityClassSize numeric
@attribute MaxCardinalityOfNominalAttributes numeric
@attribute MaxCardinalityOfNumericAttributes numeric
@attribute MaxKurtosisOfNumericAtts numeric
@attribute MaxMeansOfNumericAtts numeric
@attribute MaxNominalAttDistinctValues numeric
@attribute MaxSkewnessOfNumericAtts numeric
@attribute MaxStdDevOfNumericAtts numeric
@attribute MeanCardinalityOfNominalAttributes numeric
@attribute MeanCardinalityOfNumericAttributes numeric
@attribute MeanKurtosisOfNumericAtts numeric
@attribute MeanMeansOfNumericAtts numeric
@attribute MeanNominalAttDistinctValues numeric
@attribute MeanSkewnessOfNumericAtts numeric
@attribute MeanStdDevOfNumericAtts numeric
@attribute MinCardinalityOfNominalAttributes numeric
@attribute MinCardinalityOfNumericAttributes numeric
@attribute MinKurtosisOfNumericAtts numeric
@attribute MinMeansOfNumericAtts numeric
@attribute MinNominalAttDistinctValues numeric
@attribute MinSkewnessOfNumericAtts numeric
@attribute MinStdDevOfNumericAtts numeric
@attribute MinorityClassPercentage numeric
@attribute MinorityClassSize numeric
@attribute NumberOfBinaryFeatures numeric
@attribute NumberOfClasses numeric
@attribute NumberOfFeatures numeric
@attribute NumberOfInstances numeric
@attribute NumberOfInstancesWithMissingValues numeric
@attribute NumberOfMissingValues numeric
@attribute NumberOfNumericFeatures numeric
@attribute NumberOfSymbolicFeatures numeric
@attribute PercentageOfBinaryFeatures numeric
@attribute PercentageOfInstancesWithMissingValues numeric
@attribute PercentageOfMissingValues numeric
@attribute PercentageOfNumericFeatures numeric
@attribute PercentageOfSymbolicFeatures numeric
@attribute Quartile1KurtosisOfNumericAtts numeric
@attribute Quartile1MeansOfNumericAtts numeric
@attribute Quartile1SkewnessOfNumericAtts numeric
@attribute Quartile1StdDevOfNumericAtts numeric
@attribute Quartile2KurtosisOfNumericAtts numeric
@attribute Quartile2MeansOfNumericAtts numeric
@attribute Quartile2SkewnessOfNumericAtts numeric
@attribute Quartile2StdDevOfNumericAtts numeric
@attribute Quartile3KurtosisOfNumericAtts numeric
@attribute Quartile3MeansOfNumericAtts numeric
@attribute Quartile3SkewnessOfNumericAtts numeric
@attribute Quartile3StdDevOfNumericAtts numeric
@attribute StdevCardinalityOfNominalAttributes numeric
@attribute StdevCardinalityOfNumericAttributes numeric
@attribute StdvNominalAttDistinctValues numeric
@attribute weka.classifiers.bayes.BayesNet numeric
@attribute weka.classifiers.bayes.NaiveBayes numeric
@attribute weka.classifiers.bayes.NaiveBayesMultinomial numeric
@attribute weka.classifiers.functions.Logistic numeric
@attribute weka.classifiers.functions.MultilayerPerceptron numeric
@attribute weka.classifiers.functions.SGD numeric
@attribute weka.classifiers.functions.SMO numeric
@attribute weka.classifiers.functions.SimpleLogistic numeric
@attribute weka.classifiers.functions.VotedPerceptron numeric
@attribute weka.classifiers.lazy.IBk numeric
@attribute weka.classifiers.lazy.KStar numeric
@attribute weka.classifiers.rules.DecisionTable numeric
@attribute weka.classifiers.rules.JRip numeric
@attribute weka.classifiers.rules.OneR numeric
@attribute weka.classifiers.rules.PART numeric
@attribute weka.classifiers.rules.ZeroR numeric
@attribute weka.classifiers.trees.DecisionStump numeric
@attribute weka.classifiers.trees.J48 numeric
@attribute weka.classifiers.trees.LMT numeric
@attribute weka.classifiers.trees.REPTree numeric
@attribute weka.classifiers.trees.RandomForest numeric
@attribute weka.classifiers.trees.RandomTree numeric

@data
27,0.544959,10777536,244944,4536,0.0625,0.630435,232,6,84,2.649195,70.75731,6,1.58053,28.089867,3.5625,48.571429,0.894771,31.107422,3.5625,0.705459,12.710387,2,24,-0.931788,2.94812,2,-0.462969,0.711684,0.369565,136,3,2,23,368,361,1927,7,16,0.130435,0.980978,0.22767,0.304348,0.695652,-0.929146,4.962319,0.018636,1.927064,0.844197,30.521886,0.964515,10.865663,2.027071,45.656798,1.39429,27.70488,1.152895,18.644545,1.152895,78.317757,75.88785,0,77.757009,79.439252,78.691589,81.308411,81.121495,61.308411,78.317757,72.523364,82.616822,81.869159,79.439252,83.551402,63.551402,79.439252,83.925234,81.869159,82.616822,84.299065,76.635514
28,0.092543,83521,4913,289,0.011566,0.101779,572,10,17,2807.498576,11.98968,10,52.995278,6.518238,10,14.28125,168.553869,4.911243,10,5.451186,3.686292,10,1,-1.64652,0,10,-1.302992,0,0.098577,554,0,10,65,5620,0,0,64,1,0,0,0,0.984615,0.015385,-1.372991,0.261032,-0.329927,0.967117,0.077216,4.565569,0.559945,4.301747,20.296405,9.049155,4.066612,5.866372,0,5.128411,0,91.794258,90.801435,90.657895,93.241627,98.038278,0,98.19378,96.901914,0,98.433014,97.57177,59.892344,89.772727,26.375598,91.961722,10.167464,19.772727,89.629187,97.165072,88.074163,97.858852,86.638756
29,0.978229,3061428000,18008400,83760,0.023188,0.555072,383,14,349,214.669972,1017.385507,14,13.140655,5210.102598,4.2,188.166667,49.931704,207.05843,4.2,4.423867,901.509141,2,23,1.119236,2.223406,2,1.145892,3.346513,0.444928,307,5,2,16,690,37,67,6,10,0.3125,0.053623,0.006069,0.375,0.625,1.985325,2.355851,1.403083,4.483833,15.348781,18.163448,2.807662,8.468013,91.789567,392.357455,7.149554,1432.880726,4.049691,109.579956,4.049691,86.960784,76.568627,0,84.215686,81.666667,84.705882,84.901961,84.411765,63.137255,79.509804,78.72549,84.117647,85.196078,85.686275,83.137255,55.392157,85.686275,85.490196,84.607843,85.196078,85.196078,76.078431
30,0.873355,3871145871990,3621277710,2595898,0.00201,0.89768,4913,5,1718,4816.887815,1198.405628,5,67.425406,4849.37695,5,909.2,652.829669,253.327586,5,14.711452,840.233619,5,104,0.691928,0.368642,5,-0.834717,0.170661,0.005116,28,0,5,11,5473,0,0,10,1,0,0,0,0.909091,0.090909,3.990658,4.860722,1.985557,14.264862,123.988234,51.661111,8.931144,91.900389,528.481233,459.725105,19.735328,1423.125887,0,508.74438,0,93.488372,89.498164,91.578947,96.523868,96.119951,0,92.741738,96.548348,0,96.009792,96.915545,96.095471,97.246022,94.051408,96.952264,90.085679,93.402693,97.013464,96.903305,96.805386,97.4541,96.132191
31,0.56957,16108290,1610829,48813,0.021,0.7,700,10,921,4.29259,3271.258,10,1.949628,2822.736876,4,145.857143,0.924278,476.583857,4,0.920379,407.047619,2,2,-1.381449,1.155,2,-0.531348,0.362086,0.3,300,3,2,21,1000,0,0,7,14,0.142857,0,0,0.333333,0.666667,-1.210473,1.407,-0.27257,0.577654,0.919781,2.973,1.094184,1.118715,1.649274,35.546,1.909445,12.058814,2.038099,342.362103,2.038099,74.765101,74.42953,0,74.966443,71.744966,74.42953,75.436242,74.697987,70.134228,70.469799,68.926174,72.013423,71.812081,67.181208,71.342282,70.134228,70.134228,72.214765,74.697987,71.610738,75.503356,66.711409
32,0.102902,104060401,1030301,10201,0.001547,0.104076,1144,10,101,3.050747,85.120269,10,0.948265,41.7604,10,100.5,-0.501043,50.711046,10,-0.039196,29.774238,10,96,-1.685793,28.845342,10,-1.491183,16.218571,0.095979,1055,0,10,17,10992,0,0,16,1,0,0,0,0.941176,0.058824,-1.19726,35.906364,-0.42509,26.50641,-0.783902,48.52893,0.086459,30.241492,-0.260617,59.604417,0.447357,34.227219,0,1.414214,0,87.757465,85.971968,81.035954,95.447898,94.308349,0,97.89153,95.466179,0,99.219988,99.024985,75.630713,95.868373,38.647166,96.569165,10.390006,20.371725,95.996344,98.287629,94.771481,98.884826,94.996953
34,0.629213,108,36,12,0.1,0.711111,64,4,?,?,?,4,?,?,2.888889,?,?,?,2.888889,?,?,2,?,?,?,2,?,?,0.022222,2,2,3,9,90,3,3,0,9,0.222222,0.033333,0.003704,0,1,?,?,?,?,?,?,?,?,?,?,?,?,0.600925,?,0.600925,67.2,68,0,59.2,54.4,0,71.2,72,0,66.4,66.4,64.8,72,70.4,61.6,72,71.2,72,72,68.8,63.2,59.2
35,0.421918,5760,1440,360,0.095628,0.306011,112,6,60,-0.707909,36.296089,6,0.073352,15.324557,3.970588,60,-0.707909,36.296089,3.970588,0.073352,15.324557,2,60,-0.707909,36.296089,2,0.073352,15.324557,0.054645,20,1,6,35,366,8,8,1,34,0.028571,0.021858,0.000625,0.028571,0.971429,-0.707909,36.296089,0.073352,15.324557,-0.707909,36.296089,0.073352,15.324557,-0.707909,36.296089,0.073352,15.324557,0.521379,0,0.521379,97.029703,96.237624,0,97.821782,96.237624,0,96.831683,96.237624,0,93.663366,93.267327,85.742574,88.514851,51.485149,94.653465,31.683168,51.485149,93.861386,96.435644,90.693069,97.029703,89.108911
36,0.148116,5474014026840,4638994938,3649878,0.008658,0.142857,330,7,1922,339.221094,124.913853,7,16.900935,72.956532,7,670,38.517191,24.633144,7,3.320959,25.314714,7,1,-1.215871,-12.69086,7,-0.885361,0,0.142857,330,0,7,20,2310,0,0,19,1,0,0,0,0.95,0.05,0.094972,0.014334,0.691097,1.545336,0.688741,8.243692,1.302781,19.571819,34.340119,37.051595,5.366955,43.527458,0,581.79712,0,91.720117,80.204082,0,95.218659,96.38484,0,92.099125,94.548105,0,96.705539,96.822157,86.093294,94.693878,63.061224,95.830904,14.285714,28.571429,96.559767,96.472303,94.83965,97.900875,95.364431
37,0.550196,3243351936,23848176,128216,0.011719,0.651042,500,2,517,7.21426,120.894531,2,2.272251,115.244002,2,156.75,2.775362,44.985791,2,0.529246,25.733743,2,17,-0.520072,0.471876,2,-1.843608,0.331329,0.348958,268,1,2,9,768,0,0,8,1,0.111111,0,0,0.888889,0.111111,0.27961,8.017904,-0.294393,4.498224,1.966801,32.616732,0.537714,13.856225,5.491254,77.125977,1.722332,28.818415,0,166.099583,0,76.140351,74.649123,58.947368,77.017544,74.385965,76.929825,76.666667,77.105263,65.877193,70.789474,69.824561,75.350877,75.701754,72.45614,74.298246,65.350877,73.245614,74.122807,77.105263,74.649123,76.491228,67.894737
