DataId; RankerBuildTimes; KendallRankCorrelation; Loss; RankerPredictTimes; BestThreeLoss;ID
1025;248;0.177489177;1.694915;0;0;1
2;216;0.177489177;5.779467;0;2.965779;2
1026;201;0.376623377;0.465116;0;0.465116;3
4;201;0.0995671;6.666666;0;2.666666;4
7;195;-0.073593074;5.862069;0;4.482758;5
9;212;0.108225108;0;0;0;6
10;207;0.168831169;4.285715;0;3.333334;7
11;216;-0.090909091;16.065574;0;1.202186;8
40971;217;0.246753247;0;0;0;9
13;203;0.012987013;8.433735;0;2.650602;10
15;216;0.16017316;0;0;0;11
1045;201;0.134199134;1.95122;0;1.95122;12
40981;213;0.0995671; NaN;0; NaN;13
1048;202;-0.073593074;6.111111;0;4.444444;14
25;200;0.298701299;0;0;0;15
27;201;0.056277056;4.859813;0;4.859813;16
29;206;0.142857143;1.764706;0;1.764706;17
1054;200;-0.194805195;2.666667;0;1.333333;18
31;200;0.186147186;3.75839;0;0.738255;19
1055;201;-0.29004329;3.333334;0;0.833334;20
34;199;0.021645022;12.8;0;0;21
40994;200;-0.021645022; NaN;0; NaN;22
35;216;-0.047619048;1.584158;0;0.792079;23
1059;216;0.090909091;1.818182;0;0;24
1060;192;0.038961039;3.75;0;3.75;25
37;200;0.272727273;2.719298;0;0.964912;26
1061;219;-0.142857143;2.666666;0;1.333333;27
1062;216;-0.151515152;7.5;0;7.5;28
39;204;0.090909091;2.553192;0;2.12766;29
1063;200;0.203463203;2.077922;0;0.38961;30
40;200;-0.012987013;6;0;6;31
1064;213;-0.03030303;2.962963;0;2.962963;32
41;214;0.021645022;10.181818;0;10.181818;33
1065;211;-0.220779221;3.582089;0;3.582089;34
42;201;-0.047619048;1.538462;0;0;35
1066;201;-0.004329004;1.95122;0;0.487805;36
43;197;0.004329004;5.842696;0;1.797753;37
1071;216;0.16017316;2.20339;0;0.508475;38
48;201;-0.203463203;9.756097;0;9.756097;39
49;216;-0.116883117;6.818182;0;6.818182;40
1073;205;0.142857143;1.25;0;1.25;41
50;201;-0.082251082;24.788733;0;0;42
51;201;0.393939394;0.470589;0;0;43
1075;208;0.177489177;1.666666;0;0;44
52;209;0.246753247;20;0;10;45
53;200;0.264069264;1.772152;0;0.759493;46
54;201;0.151515152;1.774194;0;0;47
55;201;-0.038961039;3.255814;0;0.465116;48
56;204;0.16017316;7.5;0;0.3125;49
4153;220;0.004329004;6.666666;0;6.666666;50
59;200;0.246753247;0;0;0;51
61;196;0.16017316;1.904762;0;0;52
62;190;0.082251082;0;0;0;53
1100;201;0.021645022;7;0;6;54
1115;214;0.281385281;10.731707;0;10.731707;55
1117;213;0.177489177;0;0;0;56
1121;198;0.090909091;0;0;0;57
1167;200;-0.056277056;2.795699;0;2.795699;58
163;201;-0.004329004;12;0;12;59
164;218;0.064935065;0.714286;0;0;60
171;207;0.047619048;6.746988;0;0;61
172;201;0.064935065;60;0;30;62
186;201;-0.056277056;3.220339;0;2.033898;63
187;200;0.385281385;0;0;0;64
188;200;0.324675325;9.860465;0;0.465116;65
6332;201;0.134199134;2.515724;0;2.012579;66
4329;201;-0.03030303;1.151079;0;1.151079;67
4340;200;0.116883117;96.25;0;0;68
275;199;0.012987013;17.777778;0;7.777778;69
276;216;-0.298701299;6.31579;0;6.31579;70
277;219;-0.090909091;15.555555;0;15.555555;71
278;216;0.186147186;0;0;0;72
285;193;-0.255411255;4.4;0;4.4;73
307;200;0.108225108;2.167832;0;2.167832;74
311;201;0.047619048;0.57554;0;0.57554;75
327;209;0.125541126;0;0;0;76
328;216;0.090909091;2.608695;0;1.73913;77
329;202;-0.108225108;15.454546;0;13.181818;78
