DataId; RankerBuildTimes; KendallRankCorrelation; Loss; RootMeanSquareError; RankerPredictTimes; BestThreeLoss;ID
790;6151;0.316017316;1.428572;6.77396829;3;1.428572;265
791;6242;0.194805195;14;6.958001669;3;6;266
792;6132;0.774891775;0;3.436297056;2;0;267
793;6484;0.766233766;0;4.571350902;3;0;268
794;6140;0.818181818;0;2.780592778;2;0;269
795;6179;0.471861472;1.530612;5.157213114;2;1.530612;270
796;6188;0.601731602;2.711865;8.301186185;3;0;271
797;6191;0.896103896;1.677853;2.379519589;3;0;272
798;6181;0.393939394;3.409091;3.992458774;2;2.5;273
799;6152;0.428571429;0;3.343652521;3;0;274
800;6146;0.385281385;1.052631;8.773897069;2;0;275
801;6238;0.41991342;3.396226;4.363471696;2;3.396226;276
804;7684;0.541125541;8.888889;4.514128827;3;2.222222;277
805;8344;0.757575758;0.544218;3.139718091;2;0;278
806;9005;0.896103896;0;1.365392284;0;0;279
808;6023;0.541125541;1.481481;7.069093424;3;1.481481;280
810;6368;0.636363636;0.325204;4.783219468;0;0.325204;281
811;6131;0.445887446;2.105263;4.229747795;2;0;282
812;6119;0.316017316;0;6.672928507;3;0;283
813;6173;0.80952381;0;2.218989735;3;0;284
814;6257;0.54978355;0.291971;12.2934387;0;0.291971;285
815;6095;0.047619048;0;5.90566629;3;0;286
817;6170;0.194805195;7.272727;10.24789704;2;3.636364;287
818;6126;0.480519481;1.555556;6.714602706;2;0.444444;288
820;6267;0.367965368;0.597015;7.833741498;2;0.597015;289
824;6209;0.904761905;0;2.311041043;2;0;290
825;6378;0.541125541;1.486486;3.973661615;2;1.216216;291
826;6106;0.463203463;3.411765;3.848011233;4;3.411765;292
827;6147;0.402597403;2.25641;5.355295858;3;2.153846;293
829;6158;0.705627706;5.185186;4.93516327;3;0;294
830;6205;0.593073593;0;4.521614482;3;0;295
831;6151;0.506493506;1.206897;4.041305114;2;0;296
832;6121;0.74025974;0.277778;2.777605182;3;0.277778;297
835;6190;0.151515152;3.333334;5.448794088;4;3.333334;298
836;6239;0.134199134;5.714286;9.399579683;2;0;299
837;6106;0.913419913;0.471381;1.901601362;3;0.471381;300
838;6098;0.861471861;0;1.587284153;2;0;301
839;6137;0.532467532;0.431034;5.159145155;2;0.344827;302
840;6280;0.54978355;0;4.899448525;3;0;303
841;6182;0.714285714;0;6.27262743;3;0;304
842;6124;0.393939394;13.333333;10.4342599;0;0;305
844;6103;0.393939394;0.963856;3.765514109;3;0;306
845;6147;0.74025974;0;1.771061425;0;0;307
848;6174;0.090909091;4.444445;12.60646021;0;4.444445;308
849;6174;0.593073593;0;3.183759653;4;0;309
850;6191;0.41991342;2.222222;5.079024779;3;0.74074;310
852;6137;0.341991342;1.333333;4.948652908;3;0.444444;311
853;6175;0.714285714;0;5.450750188;4;0;312
23381;6257;0.402597403;3.918919;2.124324951;3;1.756757;313
854;6140;0.385281385;2.727273;2.230516355;3;0;314
855;6457;0.844155844;0;2.237044182;4;0;315
857;6122;0.255411255;2.222223;9.008848883;3;2.222223;316
858;6156;0.783549784;0;4.004733138;3;0;317
859;6111;0.411255411;1.052632;5.192316022;3;1.052632;318
860;6129;-0.064935065;2.162162;9.995233275;2;0;319
861;6149;0.541125541;5.6;3.095599677;2;3.2;320
862;6166;0.445887446;1.73913;5.900197419;3;0;321
863;6169;0.731601732;0;2.612650311;16;0;322
864;6403;0.584415584;2.666666;5.405513603;2;1.333333;323
865;6136;0.246753247;0;15.89575442;16;0;324
866;6197;0.87012987;0.20202;2.255420632;2;0;325
867;6235;0.238095238;0.555555;3.930175144;4;0.555555;326
868;6088;0.324675325;0;5.274395851;0;0;327
869;6369;0.766233766;0;3.237423037;2;0;328
870;6129;0.887445887;0;2.475398848;0;0;329
872;6110;0.757575758;0.268456;1.812740234;0;0.268456;330
873;6144;0.714285714;6.944444;4.23963218;3;0;331
874;6156;0.532467532;1.666667;11.44598527;2;0;332
875;6120;0.350649351;1.481481;4.894716572;4;1.481481;333
876;6178;0.437229437;13.333333;5.773270409;3;13.333333;334
877;6163;0.852813853;3.333333;2.722398739;3;0;335
878;6232;0.731601732;0;4.251222588;3;0;336
879;6231;0.887445887;0.544218;3.505863482;3;0;337
880;6173;0.653679654;0.487805;5.695764039;2;0.487805;338
882;6123;0.593073593;8;7.60687409;4;0;339
884;6140;0.376623377;0;2.969860402;3;0;340
885;6197;0.445887446;1.111111;11.71200413;2;1.111111;341
886;6069;0.350649351;0;5.842753054;3;0;342
887;6615;0.532467532;5.333334;5.727973815;3;0;343
888;6126;0.731601732;0;3.097370023;3;0;344
889;6118;0.298701299;11.428571;6.569703424;4;5.714286;345
890;6164;0.593073593;6.896551;8.955638243;2;0.689655;346
891;6183;0.705627706;0;2.842820992;3;0;347
892;6141;0.584415584;0;10.44780891;3;0;348
893;6183;0.168831169;1.052631;8.119093843;3;1.052631;349
894;6184;0.316017316;0;8.500693781;2;0;350
895;6146;0.324675325;0.3125;6.016029856;3;0;351
896;6202;0.852813853;0.27027;2.510812571;3;0;352
898;6199;0.575757576;6.153846;9.517978165;3;6.153846;353
899;6168;0.584415584;0.833333;5.564413947;3;0.833333;354
900;6151;0.402597403;0.17094;5.036804004;3;0.17094;355
902;6098;0.281385281;10.243902;6.584221827;3;7.317073;356
903;6072;0.878787879;0.404041;2.274708334;0;0;357
904;6168;0.567099567;1.073826;3.092765038;3;0;358
905;6163;0.220779221;6.666667;8.180696807;3;4.444445;359
906;6073;0.220779221;2.222222;2.92502442;3;2.222222;360
907;6229;-0.16017316;7.179487;5.343542566;2;2.393163;361
908;6233;0.082251082;1.538461;3.949722585;2;0;362
909;6139;0.116883117;2.564103;3.392060685;3;0;363
910;6184;0.896103896;1.481481;1.976445873;3;0;364
911;6271;0.731601732;0;2.898868256;0;0;365
912;6094;0.748917749;0.87542;2.9571783;15;0;366
913;6307;0.835497835;0;1.607712471;2;0;367
915;6191;0.402597403;4.615384;3.667986847;2;1.538461;368
916;6100;0.463203463;4.444444;5.14671946;4;0;369
917;6148;0.818181818;0;3.762442449;3;0;370
918;6181;0.714285714;3.888889;3.919963395;3;0;371
919;6062;0.393939394;0;13.07088225;3;0;372
920;6114;0.826839827;0;2.63800575;3;0;373
921;6141;0.662337662;0;3.984597616;2;0;374
922;6150;0.627705628;11.851852;7.120105323;3;0;375
924;6189;0.567099567;0;5.755010266;2;0;376
925;6152;0.376623377;4.042554;8.43706587;3;0.638298;377
926;6047;0.593073593;0;3.347642935;3;0;378
927;6157;0.497835498;4;4.633476772;4;2;379
928;6423;0.636363636;7.272727;8.103273155;3;1.818181;380
929;6068;0.506493506;2.222222;6.963490716;3;2.222222;381
931;6141;0.151515152;2.244898;5.514016734;3;1.020409;382
932;6166;0.350649351;14.074074;8.330664158;16;2.962963;383
933;6162;0.826839827;2.777778;2.420828415;4;1.388889;384
935;6228;0.757575758;0;2.507649946;3;0;385
936;6157;0.861471861;0;2.588841039;2;0;386
937;6265;0.722943723;4.353741;2.851772895;4;2.17687;387
938;6170;0.670995671;2.222222;10.7339315;2;0;388
939;6157;0.463203463;1.212121;13.42805742;2;0.909091;389
940;6113;0.515151515; NaN;10.16501456;2; NaN;390
941;6309;0.515151515;0;4.760159501;0;0;391
942;6121;0.177489177;16.666667;10.67083603;2;13.333333;392
943;6139;0.489177489;0;3.852615106;3;0;393
944;6278;0.41991342;3.888888;5.083874085;3;0.555555;394
945;6205;0.177489177;0;6.034532942;3;0;395
946;6140;-0.082251082;12.173913;9.786780092;2;6.086956;396
947;6179;0.090909091;1.69697;4.785118191;0;0;397
949;6276;0.359307359;1.939394;5.019263817;3;0.484848;398
950;6210;0.307359307;0;7.590199989;2;0;399
951;6216;0.116883117;0;4.811127476;2;0;400
952;6140;0.541125541;0;5.550124238;2;0;401
955;6161;0.064935065;7.142858;6.458863423;3;7.142858;402
956;6086;0.134199134;13.793103;8.689297498;0;4.137931;403
957;6182;0.480519481;0.495867;3.170367332;3;0.165289;404
960;6158;0.54978355;0;3.589807158;3;0;405
961;6133;0.411255411;0;11.04261942;3;0;406
963;6637;0.80952381;0;5.517662617;2;0;407
964;6153;0.411255411;2.5;12.45361422;2;2.5;408
965;6119;0.385281385;0;10.44999414;0;0;409
967;6170;0.61038961;1.344537;5.51241744;3;0;410
968;6227;0.246753247;3.773584;4.514259838;3;3.773584;411
969;6164;-0.108225108;0;13.67469405;3;0;412
970;6269;0.515151515;0.32;8.755052723;2;0.32;413
23499;6209;0.298701299;0;2.75330742;0;0;414
972;6102;0.506493506;15;5.888951346;2;10;415
973;6066;0.645021645;1.960785;5.96513621;2;0;416
974;6219;0.627705628;4.864865;5.832993532;0;0;417
975;6060;0.688311688;0;3.34331059;2;0;418
982;6248;0.705627706;0;11.75301866;3;0;419
984;6244;0.194805195;1.495327;3.475425318;2;0;420
985;6603;0.393939394;1.538461;6.093259502;2;1.538461;421
986;6166;0.350649351;12.64151;5.326624801;3;0;422
987;6125;0.471861472;0;7.916539754;2;0;423
988;6075;0.627705628;11.764706;10.55083199;3;0;424
989;6149;0.766233766;0.074907;4.99807537;2;0.074907;425
990;6176;0.541125541;1.651376;2.388422225;2;1.651376;426
992;6155;0.506493506;0;9.345107755;2;0;427
994;6105;0.662337662;0.239044;7.978543818;2;0;428
996;6144;0.445887446;0;6.512955132;3;0;429
