DataId; RankerBuildTimes; Best1Loss; Best6Loss; Best12Loss; Best20Loss; RankerPredictTimes; Best2Loss; Best16Loss; Best13Loss; Best18Loss; KendallRankCorrelation; Best21Loss; Best9Loss; Best17Loss; KendallRankCorrelationWithTies; Best5Loss; Best19Loss; Best8Loss; Best22Loss; MaxDiff; Best4Loss; Best10Loss; Best14Loss; Best7Loss; Best11Loss; Best15Loss; Best3Loss
1132.0; 788.0; 2.4137929999999983; 1.3793099999999896; 1.0344829999999945; 0.0; 1.0; 2.4137929999999983; 0.0; 0.0; 0.0; 0.004329004329004329; 0.0; 1.0344829999999945; 0.0; 0.022029852170626977; 1.3793099999999896; 0.0; 1.3793099999999896; 0.0; 91.724138; 1.3793099999999896; 1.0344829999999945; 0.0; 1.3793099999999896; 1.0344829999999945; 0.0; 2.4137929999999983
1017.0; 788.0; 6.6165419999999955; 0.0; 0.0; 0.0; 1.0; 4.661653999999999; 0.0; 0.0; 0.0; 0.48917748917748916; 0.0; 0.0; 0.0; 0.4913089916003166; 0.0; 0.0; 0.0; 0.0; 80.902256; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 3.3082709999999906
40593.0; 788.0; NaN; NaN; NaN; NaN; 6.0; NaN; NaN; NaN; NaN; 0.8181818181818182; NaN; NaN; NaN; -0.30151134457776363; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN
1163.0; 788.0; 1.2389380000000045; 0.0; 0.0; 0.0; 1.0; 1.0619470000000035; 0.0; 0.0; 0.0; 0.341991341991342; 0.0; 0.0; 0.0; 0.34499132350269485; 0.0; 0.0; 0.0; 0.0; 97.345133; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1.0619470000000035
941.0; 788.0; 6.296295999999998; 0.0; 0.0; 0.0; 1.0; 6.296295999999998; 0.0; 0.0; 0.0; 0.15151515151515152; 0.0; 0.0; 0.0; 0.15826048840199922; 0.0; 0.0; 0.0; 0.0; 84.074074; 4.074073999999996; 0.0; 0.0; 0.0; 0.0; 0.0; 4.074073999999996
1490.0; 788.0; 1.538460999999998; 0.0; 0.0; 0.0; 21.0; 0.0; 0.0; 0.0; 0.0; 0.1341991341991342; 0.0; 0.0; 0.0; -0.11439388819945857; 0.0; 0.0; 0.0; 0.0; 73.076923; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0
1510.0; 788.0; 0.5952379999999948; 0.23809500000000128; 0.0; 0.0; 1.0; 0.23809500000000128; 0.0; 0.0; 0.0; 0.22077922077922077; 0.0; 0.23809500000000128; 0.0; 0.23529914352720094; 0.23809500000000128; 0.0; 0.23809500000000128; 0.0; 34.166667; 0.23809500000000128; 0.0; 0.0; 0.23809500000000128; 0.0; 0.0; 0.23809500000000128
28.0; 788.0; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.5584415584415584; 0.0; 0.0; 0.0; 0.5553158401204902; 0.0; 0.0; 0.0; 0.0; 98.433014; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0
948.0; 788.0; 1.3846149999999966; 1.3846149999999966; 1.0461540000000014; 1.0461540000000014; 1.0; 1.3846149999999966; 1.0461540000000014; 1.0461540000000014; 1.0461540000000014; 0.0735930735930736; 1.0461540000000014; 1.0461540000000014; 1.0461540000000014; 0.07558243408915413; 1.3846149999999966; 1.0461540000000014; 1.0461540000000014; 0.0; 56.923077; 1.3846149999999966; 1.0461540000000014; 1.0461540000000014; 1.3846149999999966; 1.0461540000000014; 1.0461540000000014; 1.3846149999999966
285.0; 788.0; 0.4000000000000057; 0.0; 0.0; 0.0; 1.0; 0.4000000000000057; 0.0; 0.0; 0.0; 0.7142857142857143; 0.0; 0.0; 0.0; 0.7209644471646631; 0.0; 0.0; 0.0; 0.0; 68.4; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0
826.0; 788.0; 6.0; 3.882352999999995; 0.0; 0.0; 5.0; 6.0; 0.0; 0.0; 0.0; -0.18614718614718614; 0.0; 3.882352999999995; 0.0; -0.20524800259021087; 3.882352999999995; 0.0; 3.882352999999995; 0.0; 70.0; 6.0; 3.882352999999995; 0.0; 3.882352999999995; 3.882352999999995; 0.0; 6.0
1499.0; 788.0; 0.0; 0.0; 0.0; 0.0; 2.0; 0.0; 0.0; 0.0; 0.0; 0.670995670995671; 0.0; 0.0; 0.0; 0.6710382982072027; 0.0; 0.0; 0.0; 0.0; 94.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0
333.0; 788.0; 25.121950999999996; 0.0; 0.0; 0.0; 14.0; 25.121950999999996; 0.0; 0.0; 0.0; -0.09956709956709957; 0.0; 0.0; 0.0; -0.2512307368075871; 0.0; 0.0; 0.0; 0.0; 100.0; 25.121950999999996; 0.0; 0.0; 0.0; 0.0; 0.0; 25.121950999999996
23499.0; 788.0; 0.25; 0.25; 0.0; 0.0; 5.0; 0.25; 0.0; 0.0; 0.0; 0.047619047619047616; 0.0; 0.0; 0.0; 0.02625977743269826; 0.25; 0.0; 0.0; 0.0; 74.75; 0.25; 0.0; 0.0; 0.25; 0.0; 0.0; 0.25
40592.0; 788.0; NaN; NaN; NaN; NaN; 9.0; NaN; NaN; NaN; NaN; 0.8181818181818182; NaN; NaN; NaN; -0.30151134457776363; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN
1496.0; 788.0; 9.427154000000002; 2.7514660000000077; 0.5232299999999981; 0.0; 2.0; 7.893550000000005; 0.5232299999999981; 0.5232299999999981; 0.0; 0.10822510822510822; 0.0; 0.5232299999999981; 0.0; 0.10822510822510822; 2.7514660000000077; 0.0; 0.5232299999999981; 0.0; 97.870997; 2.7514660000000077; 0.5232299999999981; 0.5232299999999981; 0.5232299999999981; 0.5232299999999981; 0.5232299999999981; 2.7514660000000077
1539.0; 788.0; 0.007285999999993464; 0.007285999999993464; 0.007285999999993464; 0.0; 23.0; 0.007285999999993464; 0.007285999999993464; 0.007285999999993464; 0.007285999999993464; 0.047619047619047616; 0.0; 0.007285999999993464; 0.007285999999993464; -0.05006261743217589; 0.007285999999993464; 0.0; 0.007285999999993464; 0.0; 94.724954; 0.007285999999993464; 0.007285999999993464; 0.007285999999993464; 0.007285999999993464; 0.007285999999993464; 0.007285999999993464; 0.007285999999993464
