@relation MetaDataOpenML

@attribute AutoCorrelation numeric
@attribute CardinalityAtFour numeric
@attribute CardinalityAtThree numeric
@attribute CardinalityAtTwo numeric
@attribute CfsSubsetEval_DecisionStumpAUC numeric
@attribute CfsSubsetEval_DecisionStumpErrRate numeric
@attribute CfsSubsetEval_DecisionStumpKappa numeric
@attribute CfsSubsetEval_NaiveBayesAUC numeric
@attribute CfsSubsetEval_NaiveBayesErrRate numeric
@attribute CfsSubsetEval_NaiveBayesKappa numeric
@attribute CfsSubsetEval_kNN1NAUC numeric
@attribute CfsSubsetEval_kNN1NErrRate numeric
@attribute CfsSubsetEval_kNN1NKappa numeric
@attribute ClassEntropy numeric
@attribute DecisionStumpAUC numeric
@attribute DecisionStumpErrRate numeric
@attribute DecisionStumpKappa numeric
@attribute DefaultAccuracy numeric
@attribute Dimensionality numeric
@attribute EquivalentNumberOfAtts numeric
@attribute J48.00001.AUC numeric
@attribute J48.00001.ErrRate numeric
@attribute J48.00001.Kappa numeric
@attribute J48.0001.AUC numeric
@attribute J48.0001.ErrRate numeric
@attribute J48.0001.Kappa numeric
@attribute J48.001.AUC numeric
@attribute J48.001.ErrRate numeric
@attribute J48.001.Kappa numeric
@attribute MajorityClassPercentage numeric
@attribute MajorityClassSize numeric
@attribute MaxAttributeEntropy numeric
@attribute MaxCardinalityOfNominalAttributes numeric
@attribute MaxCardinalityOfNumericAttributes numeric
@attribute MaxKurtosisOfNumericAtts numeric
@attribute MaxMeansOfNumericAtts numeric
@attribute MaxMutualInformation numeric
@attribute MaxNominalAttDistinctValues numeric
@attribute MaxSkewnessOfNumericAtts numeric
@attribute MaxStdDevOfNumericAtts numeric
@attribute MeanAttributeEntropy numeric
@attribute MeanCardinalityOfNominalAttributes numeric
@attribute MeanCardinalityOfNumericAttributes numeric
@attribute MeanKurtosisOfNumericAtts numeric
@attribute MeanMeansOfNumericAtts numeric
@attribute MeanMutualInformation numeric
@attribute MeanNoiseToSignalRatio numeric
@attribute MeanNominalAttDistinctValues numeric
@attribute MeanSkewnessOfNumericAtts numeric
@attribute MeanStdDevOfNumericAtts numeric
@attribute MinAttributeEntropy numeric
@attribute MinCardinalityOfNominalAttributes numeric
@attribute MinCardinalityOfNumericAttributes numeric
@attribute MinKurtosisOfNumericAtts numeric
@attribute MinMeansOfNumericAtts numeric
@attribute MinMutualInformation numeric
@attribute MinNominalAttDistinctValues numeric
@attribute MinSkewnessOfNumericAtts numeric
@attribute MinStdDevOfNumericAtts numeric
@attribute MinorityClassPercentage numeric
@attribute MinorityClassSize numeric
@attribute NaiveBayesAUC numeric
@attribute NaiveBayesErrRate numeric
@attribute NaiveBayesKappa numeric
@attribute NumberOfBinaryFeatures numeric
@attribute NumberOfClasses numeric
@attribute NumberOfFeatures numeric
@attribute NumberOfInstances numeric
@attribute NumberOfInstancesWithMissingValues numeric
@attribute NumberOfMissingValues numeric
@attribute NumberOfNumericFeatures numeric
@attribute NumberOfSymbolicFeatures numeric
@attribute PercentageOfBinaryFeatures numeric
@attribute PercentageOfInstancesWithMissingValues numeric
@attribute PercentageOfMissingValues numeric
@attribute PercentageOfNumericFeatures numeric
@attribute PercentageOfSymbolicFeatures numeric
@attribute Quartile1AttributeEntropy numeric
@attribute Quartile1KurtosisOfNumericAtts numeric
@attribute Quartile1MeansOfNumericAtts numeric
@attribute Quartile1MutualInformation numeric
@attribute Quartile1SkewnessOfNumericAtts numeric
@attribute Quartile1StdDevOfNumericAtts numeric
@attribute Quartile2AttributeEntropy numeric
@attribute Quartile2KurtosisOfNumericAtts numeric
@attribute Quartile2MeansOfNumericAtts numeric
@attribute Quartile2MutualInformation numeric
@attribute Quartile2SkewnessOfNumericAtts numeric
@attribute Quartile2StdDevOfNumericAtts numeric
@attribute Quartile3AttributeEntropy numeric
@attribute Quartile3KurtosisOfNumericAtts numeric
@attribute Quartile3MeansOfNumericAtts numeric
@attribute Quartile3MutualInformation numeric
@attribute Quartile3SkewnessOfNumericAtts numeric
@attribute Quartile3StdDevOfNumericAtts numeric
@attribute REPTreeDepth1AUC numeric
@attribute REPTreeDepth1ErrRate numeric
@attribute REPTreeDepth1Kappa numeric
@attribute REPTreeDepth2AUC numeric
@attribute REPTreeDepth2ErrRate numeric
@attribute REPTreeDepth2Kappa numeric
@attribute REPTreeDepth3AUC numeric
@attribute REPTreeDepth3ErrRate numeric
@attribute REPTreeDepth3Kappa numeric
@attribute RandomTreeDepth1AUC numeric
@attribute RandomTreeDepth1ErrRate numeric
@attribute RandomTreeDepth1Kappa numeric
@attribute RandomTreeDepth2AUC numeric
@attribute RandomTreeDepth2ErrRate numeric
@attribute RandomTreeDepth2Kappa numeric
@attribute RandomTreeDepth3AUC numeric
@attribute RandomTreeDepth3ErrRate numeric
@attribute RandomTreeDepth3Kappa numeric
@attribute StdevCardinalityOfNominalAttributes numeric
@attribute StdevCardinalityOfNumericAttributes numeric
@attribute StdvNominalAttDistinctValues numeric
@attribute kNN1NAUC numeric
@attribute kNN1NErrRate numeric
@attribute kNN1NKappa numeric
@attribute weka.classifiers.bayes.BayesNet numeric
@attribute weka.classifiers.bayes.NaiveBayes numeric
@attribute weka.classifiers.bayes.NaiveBayesMultinomial numeric
@attribute weka.classifiers.functions.GaussianProcesses numeric
@attribute weka.classifiers.functions.LinearRegression numeric
@attribute weka.classifiers.functions.Logistic numeric
@attribute weka.classifiers.functions.MultilayerPerceptron numeric
@attribute weka.classifiers.functions.SGD numeric
@attribute weka.classifiers.functions.SMO numeric
@attribute weka.classifiers.functions.SimpleLinearRegression numeric
@attribute weka.classifiers.functions.SimpleLogistic numeric
@attribute weka.classifiers.functions.VotedPerceptron numeric
@attribute weka.classifiers.lazy.IBk numeric
@attribute weka.classifiers.lazy.KStar numeric
@attribute weka.classifiers.rules.DecisionTable numeric
@attribute weka.classifiers.rules.JRip numeric
@attribute weka.classifiers.rules.M5Rules numeric
@attribute weka.classifiers.rules.OneR numeric
@attribute weka.classifiers.rules.PART numeric
@attribute weka.classifiers.rules.ZeroR numeric
@attribute weka.classifiers.trees.DecisionStump numeric
@attribute weka.classifiers.trees.J48 numeric
@attribute weka.classifiers.trees.LMT numeric
@attribute weka.classifiers.trees.M5P numeric
@attribute weka.classifiers.trees.RandomForest numeric
@attribute weka.classifiers.trees.RandomTree numeric
@attribute weka.classifiers.trees.REPTree numeric

@data
0.97411,?,?,?,0.793161,0.73871,0.150278,0.996761,0.074194,0.915847,0.974297,0.045161,0.948769,3.120903,0.793161,0.73871,0.150278,0.132258,0.029032,?,0.955846,0.077419,0.912211,0.955846,0.077419,0.912211,0.955846,0.077419,0.912211,13.225806,41,?,?,?,0.567947,496.103226,?,9,0.787599,124.330267,-1,?,?,-0.906582,165.454299,?,?,9,0.053788,46.826259,?,?,?,-1.418098,1.265265,?,9,-0.329219,0.11645,0.058065,18,0.99241,0.119355,0.86457,0,9,9,310,0,0,8,1,0,0,0,88.888889,11.111111,?,-1.263146,5.943422,?,-0.148304,0.178233,?,-1.211547,26.587097,?,-0.034503,15.335635,?,-0.636071,387.183871,?,0.239747,120.804559,0.789854,0.73871,0.150299,0.918329,0.503226,0.422671,0.969315,0.106452,0.878721,0.78587,0.748387,0.139342,0.896415,0.541935,0.379217,0.943993,0.287097,0.673038,?,?,0,0.988936,0.019355,0.978052,89.135802,87.901235,79.753086,0,0,98.518519,99.506173,0,75.308642,0,100,0,100,98.518519,100,91.111111,0,99.753086,93.580247,13.580247,27.160494,93.82716,100,0,98.765432,96.296296,99.506173
0.764706,?,?,?,0.738095,0.307692,0.384615,0.738095,0.307692,0.384615,0.738095,0.307692,0.384615,0.995727,0.738095,0.307692,0.384615,0.538462,0.076923,?,0.738095,0.307692,0.384615,0.738095,0.307692,0.384615,0.738095,0.307692,0.384615,53.846154,28,?,?,?,3692.300325,65772.421053,?,-1,60.780756,29164.753824,-1,?,?,138.662872,232.280472,?,?,-1,5.773174,100.458561,?,?,?,-1.964773,-52.936,?,-1,-3.804792,0,0.461538,24,0.862351,0.192308,0.613095,1,2,4,52,0,0,3,1,25,0,0,75,25,?,0.542865,-0.099653,?,0.264202,0.17792,?,13.583762,0.041651,?,2.867386,0.870463,?,49.635706,0.818088,?,5.655771,1,0.717262,0.25,0.510145,0.717262,0.25,0.510145,0.717262,0.25,0.510145,0.592262,0.403846,0.185075,0.592262,0.403846,0.185075,0.592262,0.403846,0.185075,?,?,-1,0.642113,0.365385,0.262687,75.384615,76.923077,81.538462,0,0,78.461538,81.538462,83.076923,80,0,75.384615,76.923077,73.846154,76.923077,81.538462,83.076923,0,80,75.384615,53.846154,78.461538,75.384615,75.384615,0,84.615385,84.615385,78.461538
0.467742,?,?,?,0.494898,0.392,0,0.494898,0.392,0,0.494898,0.392,0,0.966078,0.507519,0.408,0.019683,0.608,0.04,356.870926,0.517454,0.408,0.019683,0.517454,0.408,0.019683,0.517454,0.408,0.019683,60.8,76,1.521928,?,?,3692.300325,65772.421053,0.004633,3,60.780756,29164.753824,1.521928,?,?,137.773922,230.982389,0.002707,561.202879,3,5.734242,99.873015,1.521928,?,?,-1.964773,-52.936,0.000781,3,-3.804792,0,0.392,49,0.530612,0.448,-0.005458,1,2,5,125,0,0,2,3,20,0,0,40,60,1.521928,0.500432,-0.091418,0.000781,0.260033,0.176378,1.521928,12.741029,0.048412,0.002707,2.828629,0.870463,1.521928,48.364993,0.819236,0.004633,5.572028,1,0.494898,0.392,0,0.494898,0.392,0,0.494898,0.392,0,0.563104,0.424,0.107263,0.563104,0.424,0.107263,0.563104,0.424,0.107263,?,?,0,0.565655,0.448,0.066915,55.294118,56.470588,0,0,0,60,50.588235,57.647059,61.764706,0,57.058824,61.764706,48.235294,52.352941,59.411765,57.058824,0,52.352941,61.764706,61.764706,60,56.470588,57.058824,0,50,50.588235,60.588235
0.535536,?,?,?,0.883658,0.129,0.739506,0.883658,0.129,0.739506,0.883658,0.129,0.739506,0.990605,0.693849,0.297,0.401909,0.557,0.026,?,0.843022,0.149,0.698285,0.843022,0.149,0.698285,0.843022,0.149,0.698285,55.7,557,?,?,?,3692.300325,65772.421053,?,-1,60.780756,29164.753824,-1,?,?,127.510122,213.897892,?,?,-1,5.314875,92.559923,?,?,?,-1.964773,-52.936,?,-1,-3.804792,0,0.443,443,0.72548,0.325,0.340375,1,2,26,1000,0,0,25,1,3.846154,0,0,96.153846,3.846154,?,0.10411,-0.022234,?,0.02409,0.194776,?,8.091689,0.032144,?,2.239983,1,?,36.724484,0.719014,?,5.012979,1,0.887295,0.141,0.713027,0.887295,0.141,0.713027,0.887295,0.141,0.713027,0.746682,0.249,0.494392,0.746682,0.249,0.494392,0.746682,0.249,0.494392,?,?,-1,0.577803,0.415,0.156147,83.838384,66.195286,0,0,0,67.542088,73.804714,65.252525,66.329966,0,66.599327,64.983165,56.094276,65.723906,85.050505,87.542088,0,74.276094,83.030303,55.892256,70.841751,85.993266,86.734007,0,89.158249,77.104377,85.858586
0.575758,?,?,?,0.831494,0.2,0.588138,0.831494,0.2,0.588138,0.831494,0.2,0.588138,0.958042,0.765068,0.21,0.547414,0.62,0.51,?,0.650042,0.34,0.299835,0.650042,0.34,0.299835,0.650042,0.34,0.299835,62,62,?,?,?,3692.300325,65772.421053,?,-1,60.780756,29164.753824,-1,?,?,110.936968,186.333731,?,?,-1,4.631929,80.760963,?,?,?,-1.964773,-52.936,?,-1,-3.804792,0,0.38,38,0.562394,0.42,0.08056,1,2,51,100,0,0,50,1,1.960784,0,0,98.039216,1.960784,?,-0.868336,-0,?,-0.019759,0.233232,?,3.583869,0.002853,?,1.441071,1,?,22.662069,0.499857,?,4.340932,1,0.771647,0.25,0.455575,0.771647,0.25,0.455575,0.771647,0.25,0.455575,0.516978,0.46,0.033613,0.516978,0.46,0.033613,0.516978,0.46,0.033613,?,?,-1,0.514007,0.47,0.027318,75.555556,62.962963,0,0,0,55.555556,50.37037,54.814815,56.296296,0,63.703704,53.333333,57.777778,51.111111,77.037037,80.740741,0,80,68.888889,62.962963,76.296296,75.555556,80.740741,0,71.851852,71.851852,66.666667
0.747535,?,?,?,0.876937,0.141732,0.709917,0.876937,0.141732,0.709917,0.876937,0.141732,0.709917,0.98852,0.878142,0.129921,0.736233,0.562992,0.021654,?,0.848871,0.133858,0.727966,0.848871,0.133858,0.727966,0.848871,0.133858,0.727966,56.299213,286,?,?,?,3692.300325,65772.421053,?,-1,60.780756,29164.753824,-1,?,?,108.191957,182.858055,?,?,-1,4.535985,78.919676,?,?,?,-1.964773,-52.936,?,-1,-3.804792,0,0.437008,222,0.920478,0.163386,0.665768,1,2,11,508,0,0,10,1,9.090909,0,0,90.909091,9.090909,?,-0.806669,-0,?,-0.016699,0.238455,?,3.017682,0.003895,?,1.380612,1,?,21.70445,0.633165,?,4.144835,1,0.900602,0.161417,0.672289,0.900602,0.161417,0.672289,0.900602,0.161417,0.672289,0.828986,0.169291,0.656649,0.828986,0.169291,0.656649,0.828986,0.169291,0.656649,?,?,-1,0.845729,0.151575,0.691806,85.503356,82.550336,81.208054,0,0,87.651007,87.651007,87.248322,85.503356,0,86.577181,79.328859,84.026846,83.087248,87.651007,86.845638,0,85.90604,85.90604,56.375839,87.38255,85.637584,86.979866,0,87.651007,82.95302,86.979866
0.501502,?,?,?,0.892991,0.116,0.764503,0.892991,0.116,0.764503,0.892991,0.116,0.764503,0.988149,0.694059,0.292,0.409347,0.564,0.101,?,0.812478,0.177,0.640384,0.812478,0.177,0.640384,0.812478,0.177,0.640384,56.4,564,?,?,?,3692.300325,65772.421053,?,-1,60.780756,29164.753824,-1,?,?,86.236615,146.13957,?,?,-1,3.631461,63.273155,?,?,?,-1.964773,-52.936,?,-1,-3.804792,0,0.436,436,0.668659,0.368,0.25213,1,2,101,1000,0,0,100,1,0.990099,0,0,99.009901,0.990099,?,-1.173826,-0,?,-0.021756,0.389933,?,0.362533,0,?,0.272089,1,?,18.990371,0.218119,?,3.325101,1,0.898324,0.14,0.715336,0.898324,0.14,0.715336,0.898324,0.14,0.715336,0.654751,0.341,0.308619,0.654751,0.341,0.308619,0.654751,0.341,0.308619,?,?,-1,0.520764,0.471,0.041561,84.242424,61.616162,0,0,0,63.097643,59.259259,59.259259,60.673401,0,61.144781,59.59596,51.447811,59.057239,85.252525,84.915825,0,79.191919,79.59596,56.565657,69.76431,84.175084,84.444444,0,80.538721,62.491582,82.693603
0.632353,?,?,?,0.614918,0.313869,0,0.764473,0.291971,0.304569,0.714745,0.277372,0.33934,0.897589,0.614918,0.313869,0,0.686131,0.058394,29.402511,0.501361,0.350365,0.026931,0.501361,0.350365,0.026931,0.501361,0.350365,0.026931,68.613139,94,1.956667,?,?,3692.300325,65772.421053,0.106696,4,60.780756,29164.753824,1.044381,?,?,85.763953,145.515281,0.030528,33.211023,2.5,3.615936,62.976496,0.349643,?,?,-1.964773,-52.936,0.000088,2,-3.804792,0,0.313869,43,0.758535,0.255474,0.387534,4,2,8,137,0,0,3,5,50,0,0,37.5,62.5,0.480046,-1.173528,-0,0.000512,-0.022034,0.394095,0.935608,0.348981,0,0.007663,0.271659,1,1.717491,18.997841,0.252066,0.083408,3.325953,1,0.685181,0.313869,0.275845,0.685181,0.313869,0.275845,0.685181,0.313869,0.275845,0.557397,0.364964,0.119311,0.557397,0.364964,0.119311,0.557397,0.364964,0.119311,?,?,1,0.513855,0.416058,0.015383,71.578947,64.736842,0,0,0,73.157895,68.947368,71.052632,71.052632,0,70,70.526316,58.947368,68.947368,70,65.263158,0,57.894737,63.684211,71.052632,69.473684,68.421053,66.315789,0,70,66.842105,73.157895
0.719828,?,?,?,0.809684,0.236294,0.527425,0.809684,0.236294,0.527425,0.809684,0.236294,0.527425,0.999991,0.767831,0.252574,0.495017,0.501796,0.002155,6.926887,0.800209,0.238688,0.522627,0.800209,0.238688,0.522627,0.800209,0.238688,0.522627,50.179555,2096,1.58151,?,?,3692.300325,65772.421053,0.144364,3,60.780756,29164.753824,1.58151,?,?,84.73395,143.515422,0.144364,9.955043,3,3.574654,62.111116,1.58151,?,?,-1.964773,-52.936,0.144364,3,-3.804792,0,0.498204,2081,0.821066,0.264783,0.470507,1,2,9,4177,0,0,7,2,11.111111,0,0,77.777778,22.222222,1.58151,-1.173366,-0,0.144364,-0.022047,0.369035,1.58151,0.347303,0,0.144364,0.276739,1,1.58151,18.967328,0.287988,0.144364,3.318624,1,0.838144,0.226957,0.546149,0.838144,0.226957,0.546149,0.838144,0.226957,0.546149,0.72774,0.272684,0.454585,0.72774,0.272684,0.454585,0.72774,0.272684,0.454585,?,?,0,0.707357,0.285372,0.429195,73.408,72.96,0,0,0,78.512,79.552,78.592,76.976,0,0,75.968,72.256,78.368,76.4,77.84,0,75.84,77.136,50.16,74.896,76.944,79.296,0,78.32,72.8,77.616
0.482412,?,?,?,0.858022,0.18,0.640324,0.858022,0.18,0.640324,0.858022,0.18,0.640324,0.999351,0.808678,0.17,0.659284,0.515,0.055,?,0.829797,0.145,0.709652,0.829797,0.145,0.709652,0.829797,0.145,0.709652,51.5,103,?,?,?,3692.300325,65772.421053,?,-1,60.780756,29164.753824,-1,?,?,83.06821,140.744642,?,?,-1,3.506039,60.92826,?,?,?,-1.985402,-52.936,?,-1,-3.804792,0,0.485,97,0.763988,0.325,0.348828,1,2,11,200,0,0,10,1,9.090909,0,0,90.909091,9.090909,?,-1.178691,-0,?,-0.024938,0.382198,?,0.237138,0,?,0.258415,1,?,18.893022,0.248264,?,3.303976,1,0.841107,0.155,0.688505,0.841107,0.155,0.688505,0.841107,0.155,0.688505,0.793164,0.205,0.588271,0.793164,0.205,0.588271,0.793164,0.205,0.588271,?,?,-1,0.798669,0.215,0.568706,81.403509,69.473684,0,0,0,84.561404,87.017544,83.508772,83.859649,0,84.210526,82.45614,85.263158,76.140351,80.701754,81.754386,0,81.403509,82.45614,50.877193,81.403509,82.105263,85.614035,0,88.421053,80.350877,81.052632
0.556637,?,?,?,0.982295,0.048933,0.889403,0.982295,0.048933,0.889403,0.982295,0.048933,0.889403,0.921005,0.694113,0.336067,0,0.663933,0.003267,?,0.980991,0.025133,0.943731,0.980991,0.025133,0.943731,0.980991,0.025133,0.943731,66.393333,9959,?,?,?,3692.300325,65772.421053,?,-1,60.780756,29164.753824,-1,?,?,77.62549,130.456689,?,?,-1,3.428256,56.314152,?,?,?,-1.985402,-52.936,?,-1,-3.804792,0,0.336067,5041,0.882693,0.344733,0.359479,1,2,49,15000,0,0,48,1,2.040816,0,0,97.959184,2.040816,?,-1.169973,-0,?,-0.014366,0.328808,?,0.254408,0,?,0.262483,1,?,18.902664,0.487822,?,3.325101,1,0.984218,0.030733,0.930917,0.984218,0.030733,0.930917,0.984218,0.030733,0.930917,0.942773,0.0516,0.884506,0.942773,0.0516,0.884506,0.942773,0.0516,0.884506,?,?,-1,0.962521,0.035533,0.920735,92.808539,65.772737,70.962864,0,0,89.268401,98.527907,90.486991,90.509228,0,88.934845,90.295753,96.531021,92.37714,93.844785,96.92684,0,76.797865,97.376028,66.399822,66.399822,97.500556,97.985324,0,98.456749,95.877252,97.344897
0.503504,?,?,?,0.880203,0.148,0.699996,0.880203,0.148,0.699996,0.880203,0.148,0.699996,0.993617,0.669584,0.325,0.341081,0.547,0.026,?,0.826138,0.163,0.67003,0.826138,0.163,0.67003,0.826138,0.163,0.67003,54.7,547,?,?,?,3692.300325,65772.421053,?,-1,60.780756,29164.753824,-1,?,?,74.300638,124.938216,?,?,-1,3.28752,53.974298,?,?,?,-1.985402,-52.936,?,-1,-3.804792,0,0.453,453,0.675779,0.367,0.261558,1,2,26,1000,0,0,25,1,3.846154,0,0,96.153846,3.846154,?,-1.174371,-0,?,-0.015029,0.363859,?,0.081737,0,?,0.187762,1,?,17.036876,0.396306,?,3.289536,1,0.841889,0.171,0.652778,0.841889,0.171,0.652778,0.841889,0.171,0.652778,0.756722,0.24,0.514616,0.756722,0.24,0.514616,0.756722,0.24,0.514616,?,?,-1,0.574101,0.418,0.149449,84.377104,62.356902,0,0,0,63.636364,77.912458,61.616162,63.569024,0,62.962963,60.740741,58.989899,66.060606,86.531987,85.521886,0,73.737374,84.242424,54.882155,67.340067,83.973064,86.329966,0,88.080808,75.084175,84.983165
0.850107,?,?,?,0.886668,0.132479,0.733014,0.886668,0.132479,0.733014,0.886668,0.132479,0.733014,0.991076,0.64253,0.401709,0.200378,0.555556,0.008547,3.040105,0.871792,0.162393,0.670203,0.871792,0.162393,0.670203,0.871792,0.162393,0.670203,55.555556,260,3.169925,?,?,3692.300325,65772.421053,0.326001,9,60.780756,29164.753824,3.169925,?,?,74.04596,124.573332,0.326001,8.723678,9,3.276432,53.823912,3.169925,?,?,-1.985402,-52.936,0.326001,9,-3.804792,0,0.444444,208,0.873354,0.215812,0.561505,1,2,4,468,0,0,2,2,25,0,0,50,50,3.169925,-1.175612,-0,0.326001,-0.014756,0.366234,3.169925,0.079761,0,0.326001,0.187152,1,3.169925,17.009296,0.406462,0.326001,3.287314,1,0.897513,0.173077,0.650024,0.897513,0.173077,0.650024,0.897513,0.173077,0.650024,0.861058,0.134615,0.725955,0.861058,0.134615,0.725955,0.861058,0.134615,0.725955,?,?,0,0.84093,0.15812,0.677638,77.971014,82.173913,0,0,0,75.942029,86.521739,76.666667,76.666667,0,75.217391,55.942029,87.681159,86.376812,77.246377,87.681159,0,76.666667,86.956522,55.797101,63.478261,86.231884,86.956522,0,88.405797,85.942029,85.942029
0.511537,?,?,?,0.957622,0.07666,0.84035,0.957622,0.07666,0.84035,0.957622,0.07666,0.84035,0.973066,0.765366,0.2052,0.550445,0.596313,0.001099,?,0.935052,0.078247,0.837133,0.935052,0.078247,0.837133,0.935052,0.078247,0.837133,59.631348,4885,?,?,?,3692.300325,65772.421053,?,-1,60.780756,29164.753824,-1,?,?,73.069579,122.93714,?,?,-1,3.239066,53.121867,?,?,?,-1.985402,-52.936,?,-1,-3.804792,0,0.403687,3307,0.973973,0.094482,0.801641,1,2,9,8192,0,0,8,1,11.111111,0,0,88.888889,11.111111,?,-1.178193,-0,?,-0.014404,0.342484,?,0.05087,0,?,0.168514,1,?,16.836138,0.421058,?,3.281614,1,0.969191,0.07666,0.840037,0.969191,0.07666,0.840037,0.969191,0.07666,0.840037,0.902775,0.093994,0.80492,0.902775,0.093994,0.80492,0.902775,0.093994,0.80492,?,?,-1,0.721129,0.256226,0.453851,91.470468,90.501018,0,0,0,94.484725,93.898167,94.476578,94.256619,0,94.199593,92.480652,74.443992,82.0611,92.105906,93.303462,0,78.248473,91.771894,59.633401,79.771894,92.627291,94.281059,0,94.207739,91.560081,92.651731
0.565657,?,?,?,0.789167,0.19,0.585153,0.789167,0.19,0.585153,0.789167,0.19,0.585153,0.970951,0.7625,0.21,0.556962,0.6,0.06,?,0.794583,0.18,0.605263,0.794583,0.18,0.605263,0.794583,0.18,0.605263,60,60,?,?,?,3692.300325,65772.421053,?,-1,60.780756,29164.753824,-1,?,?,72.46117,121.922807,?,?,-1,3.214356,52.691818,?,?,?,-1.985402,-52.936,?,-1,-3.804792,0,0.4,40,0.7675,0.2,0.576271,1,2,6,100,0,0,5,1,16.666667,0,0,83.333333,16.666667,?,-1.177339,-0,?,-0.013967,0.353331,?,0.042885,0,?,0.153277,1,?,16.673048,0.408316,?,3.27417,1,0.79125,0.2,0.576271,0.79125,0.2,0.576271,0.79125,0.2,0.576271,0.8,0.21,0.578313,0.8,0.21,0.578313,0.8,0.21,0.578313,?,?,-1,0.708333,0.27,0.425532,77.142857,77.857143,0,0,0,65.714286,81.428571,73.571429,74.285714,0,73.571429,67.142857,70.714286,77.857143,76.428571,77.142857,0,73.571429,76.428571,60.714286,77.142857,76.428571,77.142857,0,81.428571,76.428571,77.142857
0.496137,?,?,?,0.977279,0.070521,0.858961,0.977279,0.070521,0.858961,0.977279,0.070521,0.858961,0.999998,0.802162,0.197483,0.605028,0.500883,0.00027,?,0.975689,0.06873,0.862539,0.975689,0.06873,0.862539,0.975689,0.06873,0.862539,50.088305,20420,?,?,?,3692.300325,65772.421053,?,-1,60.780756,29164.753824,-1,?,?,71.259685,119.943574,?,?,-1,3.162113,51.849986,?,?,?,-1.999762,-52.936,?,-1,-3.804792,0,0.499117,20348,0.719309,0.344486,0.311019,1,2,11,40768,0,0,10,1,9.090909,0,0,90.909091,9.090909,?,-1.183434,-0,?,-0.011645,0.369035,?,0,0,?,0.13296,1,?,16.408067,0.388442,?,3.258391,1,0.98186,0.070668,0.858661,0.98186,0.070668,0.858661,0.98186,0.070668,0.858661,0.916241,0.092524,0.814959,0.916241,0.092524,0.814959,0.916241,0.092524,0.814959,?,?,-1,0.957774,0.088305,0.823399,83.904154,65.444881,0,0,0,83.817468,93.099444,83.660451,83.729146,0,83.927053,83.873078,91.449133,92.608767,93.061825,93.022571,0,80.296042,92.968597,50.089957,80.296042,93.1158,93.150147,0,92.087013,90.71966,93.097808
0.985929,?,?,?,0.985083,0.00691,0.980862,0.985083,0.00691,0.980862,0.985083,0.00691,0.980862,0.794432,0.985083,0.00691,0.980862,0.760365,0.001974,?,0.987914,0.007404,0.979539,0.987914,0.007404,0.979539,0.987914,0.007404,0.979539,76.036525,3081,?,?,?,3692.300325,65772.421053,?,-1,60.780756,29164.753824,-1,?,?,70.650185,121.763857,?,?,-1,3.157445,51.287152,?,?,?,-1.999762,-52.936,?,-1,-3.804792,0,0.239635,971,0.986117,0.030849,0.916958,1,2,8,4052,0,0,7,1,12.5,0,0,87.5,12.5,?,-1.183715,-0,?,-0.011716,0.36861,?,0,0,?,0.142945,1,?,16.449989,0.396306,?,3.258938,1,0.985083,0.00691,0.980862,0.985083,0.00691,0.980862,0.985083,0.00691,0.980862,0.986591,0.008885,0.975517,0.986591,0.008885,0.975517,0.986591,0.008885,0.975517,?,?,-1,0.994587,0.014808,0.959136,99.274526,97.526793,75.482275,0,0,98.845837,99.175598,98.911789,98.895301,0,99.225062,76.092333,98.64798,99.175598,99.274526,99.027205,0,99.274526,99.093157,76.092333,99.274526,99.142622,99.142622,0,99.208574,99.109646,99.225062
0.860465,?,?,?,0.818083,0.204545,0.543779,0.818083,0.204545,0.543779,0.818083,0.204545,0.543779,0.962413,0.72658,0.25,0.5,0.613636,0.090909,?,0.801743,0.204545,0.533019,0.801743,0.204545,0.533019,0.801743,0.204545,0.533019,61.363636,27,?,?,?,3692.300325,65772.421053,?,-1,60.780756,29164.753824,-1,?,?,70.306576,121.348131,?,?,-1,3.143665,51.093445,?,?,?,-1.999762,-52.936,?,-1,-3.804792,0,0.386364,17,0.936819,0.136364,0.699317,1,2,4,44,0,0,3,1,25,0,0,75,25,?,-1.185173,-0,?,-0.012249,0.369886,?,0,0,?,0.139079,1,?,16.324223,0.408316,?,3.257298,1,0.827887,0.227273,0.54071,0.827887,0.227273,0.54071,0.827887,0.227273,0.54071,0.797386,0.181818,0.608018,0.797386,0.181818,0.608018,0.797386,0.181818,0.608018,?,?,-1,0.845316,0.136364,0.706013,69.090909,89.090909,70.909091,0,0,89.090909,89.090909,90.909091,87.272727,0,87.272727,63.636364,92.727273,94.545455,67.272727,78.181818,0,74.545455,87.272727,63.636364,70.909091,85.454545,87.272727,0,92.727273,90.909091,70.909091
