REPTreeDepth3, 2 folds;J48.0001., 2 folds;DefaultAccuracy;NominalAttDistinctValues;RandomTreeDepth1, 2 folds;Cardinality;RandomTreeDepth3, 2 folds;CfsSubsetEval_NaiveBayes, 2 folds;J48.001., 2 folds;J48.00001., 2 folds;DecisionStump, 2 folds;SimpleMetaFeatures;RandomTreeDepth2, 2 folds;NaiveBayes, 2 folds;CfsSubsetEval_DecisionStump, 2 folds;CfsSubsetEval_kNN1N, 2 folds;REPTreeDepth1, 2 folds;Statistical;kNN1N, 2 folds;REPTreeDepth2, 2 folds;;
0;0;0;0;0;0;0;31;0;0;16;0;0;0;38;31;0;1;0;15;;
0;0;0;0;0;0;0;22;0;0;0;0;0;15;31;16;0;0;0;0;;
0;15;0;0;0;0;0;16;0;0;0;0;0;0;16;22;0;0;15;0;;
0;17;0;0;0;0;0;16;0;0;0;0;1;5;31;31;0;0;17;4;;
0;1;0;0;1;0;0;31;1;0;0;15;0;0;19;16;0;0;0;0;;
15;16;0;0;0;0;0;15;0;0;0;0;0;0;34;32;0;0;15;0;;
0;0;0;0;0;0;0;17;0;0;0;0;0;0;16;25;0;0;0;0;;
16;36;0;0;16;0;0;100;37;34;6;0;0;79;85;78;0;16;238;14;;
1;0;0;0;0;0;0;15;0;0;0;0;0;0;37;16;1;0;0;1;;
0;0;0;0;0;0;0;22;15;16;15;0;0;0;16;47;0;0;0;0;;
0;0;0;0;0;0;0;6;0;0;0;0;0;0;32;22;0;0;0;0;;
0;0;0;0;0;0;0;23;0;0;0;0;0;0;31;15;0;0;0;0;;
0;0;0;0;0;0;16;15;0;0;0;0;15;0;32;38;0;0;0;0;;
0;17;0;0;0;0;0;32;0;2;0;0;2;0;15;31;0;0;0;1;;
0;0;0;0;0;0;0;16;0;0;0;0;0;0;37;31;0;0;0;0;;
4;6;0;0;4;1;3;27;7;7;0;0;3;0;29;40;4;0;15;4;;
0;0;0;0;0;0;0;16;0;0;0;0;0;0;15;31;0;0;0;0;;
0;0;0;0;0;0;0;47;0;0;1;0;0;1;31;9;0;1;1;0;;
4;3;0;0;3;0;3;31;6;5;0;0;5;15;47;16;3;0;16;4;;
0;0;0;0;0;0;0;21;0;16;1;0;0;4;10;22;15;2;50;0;;
0;0;0;0;0;0;0;16;0;0;0;0;0;0;22;16;0;0;0;0;;
16;16;0;0;0;0;0;22;0;0;0;0;0;0;31;31;0;0;16;0;;
0;0;0;0;0;0;0;32;0;0;0;0;16;2;15;3;0;0;17;0;;
0;0;0;0;0;0;0;32;0;0;0;0;0;0;15;21;0;0;0;0;;
0;0;0;0;0;0;0;16;0;0;0;0;0;0;15;38;0;0;0;0;;
0;0;0;0;0;0;0;22;0;0;0;0;0;0;16;31;0;0;0;0;;
0;0;0;0;0;0;0;16;0;0;0;0;0;0;22;31;0;0;0;0;;
0;2;0;0;1;0;0;16;16;1;0;0;1;0;15;31;0;0;0;1;;
16;0;0;0;0;1;0;11;0;0;0;0;0;0;16;29;0;0;0;0;;
0;0;0;0;0;0;15;16;0;0;0;0;0;0;16;15;0;0;0;0;;
0;0;0;0;0;0;0;16;0;0;0;0;0;0;31;22;0;0;0;0;;
1;0;0;0;0;0;0;31;0;2;0;0;3;38;31;16;0;0;0;16;;
0;1;0;0;1;0;1;31;0;1;0;0;1;0;16;16;15;0;0;0;;
1;0;0;0;0;0;1;31;0;0;0;0;1;0;16;16;0;0;0;15;;
15;18;0;0;20;0;0;19;31;32;0;0;0;31;32;50;0;16;169;15;;
0;0;0;0;0;0;0;16;0;0;0;0;0;0;16;15;15;0;16;0;;
16;0;0;0;1;0;0;15;19;0;0;0;0;0;16;31;2;0;16;0;;
0;0;0;0;0;0;0;15;0;0;0;0;0;0;22;32;0;0;0;0;;
0;15;0;0;0;0;0;32;0;0;0;0;0;0;22;15;0;0;0;0;;
22;38;0;0;16;16;0;49;31;31;16;0;16;16;20;15;0;0;153;31;;
0;0;0;0;0;0;0;15;0;0;0;0;0;0;22;32;0;0;0;0;;
0;0;0;0;0;0;0;15;0;0;16;0;0;0;16;16;0;0;0;0;;
0;0;0;0;0;0;0;15;0;0;0;0;0;16;16;16;0;0;0;0;;
0;0;0;0;0;0;0;16;0;0;1;0;0;1;31;15;0;0;4;0;;
0;0;0;0;0;0;0;16;0;0;0;0;0;0;32;21;0;0;0;0;;
15;16;0;0;3;0;0;31;15;16;0;0;0;4;16;16;19;0;34;31;;
0;0;0;0;0;15;0;26;0;0;1;0;0;3;11;28;0;0;4;0;;
0;0;0;0;0;0;0;15;0;0;0;0;0;0;37;16;0;0;0;0;;
0;0;0;0;1;0;0;31;1;0;0;0;0;0;20;16;0;0;16;0;;
0;0;0;0;0;0;0;16;0;0;0;0;0;0;15;15;0;0;0;0;;
5;12;0;0;5;2;5;27;12;12;3;0;5;8;26;28;5;0;95;5;;
0;0;0;0;0;16;0;38;0;0;0;1;15;0;31;31;16;1;32;0;;
0;0;0;0;0;0;16;31;0;0;0;0;0;1;16;2;0;0;3;0;;
0;0;0;0;15;0;0;16;0;0;0;0;0;0;16;22;0;0;0;0;;
0;15;0;0;0;0;0;15;16;0;0;0;16;0;16;22;0;0;16;0;;
0;0;0;0;0;6;16;16;0;0;0;0;0;0;31;31;0;0;0;0;;
0;0;0;0;0;0;0;23;0;0;0;0;0;0;19;31;0;0;15;0;;
0;0;0;0;0;0;0;18;0;0;0;0;16;0;32;15;0;0;16;0;;
0;0;0;0;16;0;0;16;0;0;0;0;0;0;15;22;0;0;16;0;;
15;5;0;0;17;0;0;31;16;0;0;1;16;16;31;22;0;3;63;0;;
16;0;0;0;16;0;0;16;0;0;0;0;0;0;15;37;0;0;0;0;;
0;0;0;0;0;0;0;2;0;0;0;0;0;0;32;20;0;0;0;0;;
0;0;0;0;15;0;0;15;0;0;0;0;0;0;23;16;0;0;0;0;;
0;0;0;0;0;0;0;16;1;0;0;0;0;0;20;31;1;0;0;0;;
0;0;0;0;0;0;0;22;0;0;0;0;16;15;31;16;0;0;31;0;;
0;0;0;0;0;0;0;22;0;0;0;0;0;0;16;15;0;0;0;0;;
1;15;0;0;0;0;0;16;0;0;0;0;0;0;16;15;0;0;0;1;;
0;0;0;0;0;0;0;16;0;0;0;0;0;0;31;15;0;0;0;0;;
0;0;0;0;0;0;0;16;0;0;0;0;0;0;15;22;0;0;0;0;;
0;16;0;0;0;0;0;20;0;0;0;0;0;0;15;34;0;0;15;0;;
0;0;0;0;0;0;0;16;0;0;0;0;15;0;16;22;0;0;15;0;;
0;0;0;0;0;0;0;16;0;0;0;0;16;0;31;31;0;0;0;0;;
16;32;0;0;0;0;0;38;47;16;0;0;15;15;31;47;6;5;116;0;;
0;0;0;0;0;0;16;15;0;0;0;0;0;0;16;32;0;0;15;0;;
0;0;0;0;0;0;0;16;0;0;0;0;0;0;22;47;16;16;0;0;;
0;0;0;0;0;0;0;32;0;0;0;0;15;0;15;22;16;0;31;0;;
