REPTreeDepth3, 2 folds;J48.0001., 2 folds;DefaultAccuracy;NominalAttDistinctValues;RandomTreeDepth1, 2 folds;Cardinality;RandomTreeDepth3, 2 folds;CfsSubsetEval_NaiveBayes, 2 folds;J48.001., 2 folds;J48.00001., 2 folds;DecisionStump, 2 folds;SimpleMetaFeatures;RandomTreeDepth2, 2 folds;NaiveBayes, 2 folds;CfsSubsetEval_DecisionStump, 2 folds;CfsSubsetEval_kNN1N, 2 folds;REPTreeDepth1, 2 folds;Statistical;kNN1N, 2 folds;REPTreeDepth2, 2 folds;;
16;0;0;0;0;0;0;16;0;0;1;15;0;3;15;17;16;0;17;0;;
16;16;0;0;0;15;0;16;21;16;0;0;0;23;31;31;1;0;78;15;;
0;15;0;0;0;0;0;16;0;0;0;0;0;1;16;4;0;0;1;0;;
0;0;0;0;0;0;0;22;0;0;0;0;0;0;15;16;0;16;0;0;;
0;13;0;16;2;0;16;132;12;0;16;0;0;0;150;131;3;0;53;2;;
0;0;0;0;0;0;0;16;0;0;0;0;0;0;15;15;0;0;16;0;;
0;16;0;0;0;0;0;15;0;0;0;0;0;0;16;16;0;0;0;0;;
0;0;0;0;0;0;0;16;0;16;1;0;0;3;15;16;16;0;18;0;;
0;0;0;0;0;0;0;16;0;0;0;0;0;0;16;15;0;0;0;0;;
0;0;0;0;0;0;0;21;0;0;0;0;0;0;16;16;0;0;0;0;;
1;1;0;0;0;0;0;31;1;0;0;0;0;0;18;16;0;0;0;0;;
0;0;0;0;16;0;0;63;0;0;0;0;0;0;6;15;0;0;0;0;;
0;0;0;0;0;0;0;15;0;0;0;0;15;0;23;16;0;0;15;0;;
1;1;1;0;1;0;0;32;0;1;0;0;1;0;19;15;1;0;0;1;;
0;0;0;0;0;0;0;16;0;0;0;0;0;0;15;31;0;0;0;0;;
1;0;0;0;0;0;2;16;15;3;0;0;16;16;16;15;0;0;0;0;;
0;0;0;0;15;0;0;15;0;0;0;0;0;0;16;16;0;0;0;0;;
0;0;0;0;0;0;0;16;0;0;0;0;16;0;15;16;0;0;16;0;;
0;0;0;0;16;0;0;15;0;0;0;0;15;0;16;22;0;0;0;0;;
0;0;0;0;0;0;0;16;0;0;0;0;15;0;16;31;0;0;22;0;;
0;0;0;0;0;0;0;16;0;0;0;0;0;1;15;16;0;0;4;0;;
0;16;0;0;0;0;0;15;0;0;0;0;0;0;16;23;0;0;15;0;;
0;0;0;0;0;0;0;22;0;0;0;0;0;0;16;16;0;0;0;0;;
0;0;0;0;0;0;1;15;0;0;0;0;0;0;16;16;16;0;0;1;;
0;0;0;0;0;0;0;32;0;16;0;0;0;0;37;15;0;0;16;0;;
1;0;0;0;0;1;0;16;0;15;0;0;0;0;16;15;0;0;0;0;;
0;0;0;0;15;0;0;16;0;0;0;0;0;0;16;15;0;0;0;0;;
0;31;0;0;0;0;16;62;15;19;0;0;3;31;54;69;16;21;202;16;;
0;0;0;0;0;0;0;17;0;0;0;0;0;0;14;31;0;0;0;0;;
0;0;0;0;0;0;0;31;0;0;0;0;0;0;16;16;0;0;0;0;;
0;0;0;0;0;15;0;16;0;0;0;0;0;0;16;15;0;0;0;0;;
0;0;0;0;0;0;0;16;0;0;0;0;16;0;15;22;0;16;0;0;;
0;0;0;0;0;0;0;22;16;0;0;0;0;0;16;15;0;0;0;0;;
0;0;0;0;0;0;0;23;0;0;0;0;0;0;15;15;0;0;16;0;;
1;1;0;0;0;0;0;16;0;0;0;0;1;0;18;31;1;0;0;0;;
0;0;0;0;0;0;0;16;0;0;0;0;0;0;22;31;0;0;15;16;;
0;0;0;0;0;0;0;16;0;0;0;0;0;15;16;22;15;16;16;0;;
0;0;0;0;0;0;0;22;0;16;0;0;0;0;15;16;0;0;0;0;;
0;34;0;0;0;0;16;22;16;31;0;0;0;0;31;31;15;0;100;4;;
0;16;0;0;0;0;15;31;15;0;16;0;1;0;16;17;0;16;16;6;;
0;0;0;0;0;0;0;16;0;0;0;0;0;0;16;15;0;0;0;0;;
0;0;0;0;0;0;15;22;0;0;0;0;0;0;31;31;16;0;47;16;;
16;0;0;0;0;0;0;16;0;0;0;0;0;1;15;16;0;1;2;0;;
0;0;0;0;0;0;0;15;0;0;0;0;15;3;32;16;0;0;19;0;;
0;0;0;0;0;0;0;16;0;0;0;0;0;0;15;16;0;0;1;0;;
0;16;0;0;0;0;0;15;0;0;0;0;0;16;16;22;0;0;0;0;;
0;0;0;0;0;0;0;16;0;0;0;0;0;0;15;22;0;0;0;0;;
0;0;0;0;0;0;0;22;0;0;0;0;0;0;16;15;0;0;16;16;;
0;16;0;0;0;0;16;32;53;15;15;0;0;16;16;37;0;0;69;0;;
0;0;0;0;0;0;0;16;0;16;0;0;0;0;16;16;0;16;0;0;;
0;0;0;0;0;0;0;15;0;0;0;0;0;0;23;16;0;0;0;0;;
0;16;0;0;0;0;0;16;0;0;0;0;0;0;15;16;0;0;0;0;;
0;0;0;0;0;0;0;15;15;16;0;0;0;0;16;16;0;1;1;0;;
0;0;0;0;0;0;0;15;0;0;1;0;0;1;16;16;0;1;1;0;;
0;0;0;0;0;0;0;16;0;0;0;0;0;0;31;22;0;0;15;0;;
0;0;0;0;0;0;0;3;0;0;0;0;0;16;31;19;0;0;0;0;;
0;0;0;0;0;0;0;20;0;0;0;0;0;0;18;31;0;0;0;0;;
0;1;0;0;0;0;0;16;1;1;0;0;0;0;32;16;0;0;0;0;;
0;0;0;0;0;0;17;31;0;0;0;0;0;0;15;16;0;0;16;0;;
16;0;0;0;0;0;0;16;0;0;0;0;0;0;15;15;0;0;0;0;;
0;0;0;0;0;0;0;37;0;16;0;0;0;15;16;16;16;0;32;0;;
16;0;0;0;0;0;0;15;3;0;0;0;0;15;33;32;2;0;23;0;;
1;16;1;0;0;0;0;16;0;1;0;0;0;0;15;16;0;0;0;1;;
0;0;0;0;0;0;0;16;0;0;0;0;0;0;31;16;0;0;0;0;;
1;0;0;0;0;1;1;16;0;3;0;0;0;4;31;31;0;0;18;16;;
0;2;0;0;2;0;0;15;17;0;0;0;0;0;16;16;1;0;15;0;;
16;0;0;0;0;0;0;31;3;0;0;0;0;0;19;16;0;0;15;0;;
0;0;0;0;0;0;0;16;0;0;0;0;0;0;15;15;0;0;0;0;;
0;0;0;0;0;0;0;16;16;0;0;0;0;0;15;15;0;0;0;0;;
0;0;0;0;0;0;0;16;0;0;0;0;0;0;31;21;0;0;0;0;;
0;0;0;0;0;16;0;18;0;0;0;0;0;0;16;35;0;0;0;0;;
0;0;0;0;0;0;0;19;0;0;0;0;0;0;16;16;0;0;0;0;;
0;0;0;0;16;0;0;15;0;16;0;0;0;16;31;21;0;0;15;0;;
0;0;0;0;0;0;0;32;0;0;0;0;0;0;15;15;0;0;0;0;;
0;15;0;0;0;0;0;31;0;16;0;0;0;0;38;31;16;19;19;0;;
15;16;0;0;0;0;0;31;1;0;15;0;0;0;37;16;0;3;0;0;;
0;22;0;0;0;0;0;16;0;16;0;0;0;22;31;31;0;0;16;0;;
16;0;0;0;0;0;0;22;0;0;0;0;0;0;15;32;0;15;0;0;;
0;0;0;0;0;0;0;22;0;0;0;0;0;0;31;31;0;0;0;0;;
0;0;0;0;0;0;0;16;0;0;0;0;0;0;31;39;0;0;15;16;;
0;15;0;0;0;0;0;15;0;0;0;0;0;0;16;16;0;0;0;0;;
0;0;0;0;0;0;0;17;0;0;0;0;0;0;15;21;0;0;0;0;;
0;0;0;0;0;0;0;20;0;0;0;0;0;0;2;31;16;0;0;0;;
0;2;0;0;2;0;0;16;15;0;0;0;1;0;16;15;1;0;0;1;;
0;17;0;0;0;0;0;15;0;3;0;0;1;16;16;16;0;0;0;1;;
0;0;0;0;0;0;0;16;0;0;0;0;0;0;16;15;0;0;0;0;;
0;0;0;0;0;0;0;16;0;0;0;0;0;1;31;16;0;1;3;0;;
15;0;0;0;0;0;0;47;3;0;0;0;0;0;35;15;0;0;23;0;;
16;16;0;0;0;0;0;32;6;0;16;0;0;0;31;15;0;16;53;15;;
0;0;0;0;0;0;0;15;16;0;1;0;15;22;16;19;0;0;15;0;;
0;0;0;0;2;0;0;16;18;15;0;0;0;0;15;31;3;0;16;0;;
0;0;0;0;0;0;0;16;0;0;0;0;0;15;22;16;0;0;0;16;;
0;15;0;0;0;0;0;15;0;0;0;0;0;15;32;54;0;0;0;0;;
2;3;0;0;1;1;1;20;3;3;2;0;1;4;21;23;1;2;5;2;;
7;16;1;0;7;2;3;31;17;15;4;0;4;16;32;29;34;6;65;11;;
4;10;1;0;3;1;3;32;10;10;4;0;2;19;25;30;6;6;87;4;;
0;0;0;0;0;1;0;18;1;1;1;0;0;0;20;19;0;0;2;1;;
0;1;0;0;0;1;0;18;1;1;0;0;0;0;19;18;0;0;2;0;;
2;3;1;0;3;0;3;20;5;2;1;0;3;2;20;22;3;0;19;2;;
1;1;0;0;1;0;2;20;2;2;1;0;1;2;17;21;1;1;2;1;;
5;10;0;0;3;2;3;22;11;9;2;0;4;9;29;21;5;4;37;5;;
3;3;0;1;2;1;3;22;4;3;2;0;2;4;27;22;4;0;27;3;;
8;11;2;0;11;0;8;24;12;10;5;0;7;113;25;26;15;2;37;8;;
0;0;0;0;0;0;0;32;0;0;0;0;0;0;15;15;0;0;0;0;;
0;0;0;0;0;0;0;15;16;0;0;0;15;2;16;16;0;0;20;0;;
16;5;0;0;17;0;0;16;16;0;0;0;15;62;31;38;0;0;16;0;;
0;0;0;0;0;0;0;22;0;15;0;0;0;15;16;16;0;0;0;0;;
0;0;0;0;0;0;0;15;0;0;0;0;16;0;22;16;0;0;0;0;;
0;0;0;0;0;0;0;16;0;0;0;0;0;0;16;15;0;0;0;0;;
3;0;0;0;0;0;2;16;16;15;0;0;0;0;15;16;0;0;15;0;;
0;0;0;0;0;0;0;16;0;0;0;0;0;16;15;15;0;0;0;0;;
0;0;0;0;0;0;0;31;0;0;0;0;0;2;16;3;0;0;17;0;;
0;0;0;0;0;16;0;15;0;0;0;0;0;0;16;23;15;0;15;0;;
0;0;0;0;0;0;0;15;0;0;0;0;0;0;16;20;16;0;0;0;;
15;16;0;0;0;0;0;31;16;0;0;0;0;16;22;31;0;0;22;0;;
16;0;0;0;0;0;0;17;0;0;0;0;0;16;16;20;0;0;0;0;;
0;0;0;0;15;0;0;22;0;0;0;0;0;0;16;16;0;0;0;0;;
0;0;0;0;0;0;0;22;0;0;0;0;16;0;16;15;0;0;16;0;;
3;0;0;0;0;0;1;19;0;18;0;0;0;16;31;34;16;0;0;16;;
0;0;0;0;0;0;0;15;1;0;0;0;0;0;37;32;0;0;0;0;;
0;0;0;0;0;0;16;31;0;0;0;0;0;15;22;16;0;0;0;0;;
16;15;0;0;0;1;1;38;0;0;0;0;0;16;47;31;0;0;0;0;;
16;18;0;0;0;0;0;37;16;0;15;0;0;16;47;32;0;15;0;4;;
0;0;0;0;0;0;0;15;0;0;0;0;0;0;22;32;0;0;0;0;;
1;0;0;0;0;0;1;16;0;2;0;0;1;0;15;15;0;0;16;16;;
0;16;0;0;0;0;0;22;15;22;0;0;0;15;16;47;16;0;101;15;;
38;78;0;0;4;0;0;16;68;78;0;0;0;54;32;31;34;0;131;22;;
25;16;0;0;0;0;4;32;22;16;0;0;0;39;15;15;16;0;31;24;;
0;0;0;0;16;0;0;31;15;15;0;0;0;0;7;16;0;0;31;16;;
1;0;0;0;15;0;0;31;0;21;0;0;0;0;16;16;0;0;22;0;;
47;101;16;0;15;0;0;32;100;116;15;0;16;69;21;32;32;16;216;37;;
0;15;0;0;0;0;0;16;0;0;0;0;0;0;16;15;0;0;0;0;;
0;0;0;0;0;0;0;2;0;0;0;0;0;0;31;20;0;16;0;0;;
0;0;0;0;0;0;0;22;0;0;0;0;0;15;16;16;0;0;0;15;;
0;0;0;0;0;0;0;31;16;0;0;0;0;16;16;22;0;0;15;15;;
0;0;0;0;0;0;0;19;0;16;0;0;0;47;32;34;15;0;0;0;;
0;0;0;0;16;0;0;15;0;0;0;0;0;0;16;16;0;0;16;0;;
16;0;0;0;0;0;0;15;0;0;16;0;0;0;16;16;0;0;0;0;;
31;0;0;0;2;0;0;31;0;0;16;0;0;0;32;22;35;2;62;16;;
0;0;0;0;0;0;0;15;0;0;0;0;0;0;31;18;0;0;31;16;;
0;0;0;0;0;0;0;16;0;0;1;1;0;1;16;15;0;0;3;0;;
0;0;0;0;0;0;0;15;16;15;1;0;0;20;16;17;0;0;16;0;;
16;32;0;0;0;0;0;16;15;0;0;0;15;0;22;31;0;0;32;0;;
0;0;0;0;0;0;0;16;0;0;0;0;0;0;22;15;0;0;0;0;;
15;16;0;0;0;0;0;32;0;0;0;0;0;16;21;16;0;0;15;0;;
0;0;0;0;0;0;0;21;0;0;0;0;0;0;16;16;0;0;0;0;;
16;0;0;0;0;0;0;16;0;0;16;0;0;0;53;15;0;0;0;0;;
0;0;0;0;0;0;0;17;0;0;0;0;0;0;15;32;0;0;0;0;;
1;1;0;0;1;0;0;15;1;1;0;0;0;0;32;16;0;0;0;1;;
0;0;0;0;0;0;0;16;0;0;0;0;0;16;16;15;0;0;0;0;;
0;16;0;0;0;0;0;16;0;0;0;0;0;0;15;22;0;0;0;0;;
16;0;0;0;0;0;0;16;0;0;0;0;0;0;15;22;0;0;16;0;;
0;16;0;0;0;0;0;31;0;0;0;0;0;0;16;16;0;0;37;0;;
1;0;0;0;0;1;1;16;0;2;16;0;1;0;15;15;0;0;16;17;;
16;0;0;0;0;0;1;16;0;0;0;0;0;0;31;16;0;0;15;0;;
0;22;0;0;0;0;15;38;32;32;0;0;0;31;31;47;0;0;84;15;;
0;0;0;0;0;0;0;17;0;0;0;0;0;0;31;15;0;0;0;0;;
0;0;0;0;0;0;0;35;16;0;0;0;0;0;3;15;0;0;0;0;;
0;0;0;0;0;0;0;15;1;0;16;0;0;0;21;16;0;0;0;0;;
0;16;0;0;0;0;0;37;0;16;0;0;0;0;16;16;0;0;31;0;;
0;0;0;0;0;0;0;22;0;0;0;0;0;0;16;16;0;0;0;0;;
16;16;0;0;0;0;0;22;0;0;0;0;0;0;31;16;0;0;31;0;;
0;15;0;16;0;0;16;32;16;22;0;0;0;200;37;47;16;0;107;16;;
0;0;0;0;0;0;0;17;15;0;0;0;16;0;16;31;0;0;16;0;;
0;0;0;0;2;0;0;31;17;15;0;0;0;16;16;16;3;0;22;0;;
;;;;;;;;;;;;;;;;;;;;;
REPTreeDepth3, 2 folds;J48.0001., 2 folds;DefaultAccuracy;NominalAttDistinctValues;RandomTreeDepth1, 2 folds;Cardinality;RandomTreeDepth3, 2 folds;CfsSubsetEval_NaiveBayes, 2 folds;J48.001., 2 folds;J48.00001., 2 folds;DecisionStump, 2 folds;SimpleMetaFeatures;RandomTreeDepth2, 2 folds;NaiveBayes, 2 folds;CfsSubsetEval_DecisionStump, 2 folds;CfsSubsetEval_kNN1N, 2 folds;REPTreeDepth1, 2 folds;Statistical;kNN1N, 2 folds;REPTreeDepth2, 2 folds;;
0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;;min
60;101;16;16;29;19;30;132;201;116;54;16;18;200;150;1096;56;69;1118;67;;max
3.258928571;4.944196429;0.160714286;0.127232143;1.955357143;0.654017857;1.636160714;23.30357143;5.129464286;4.464285714;1.535714286;0.220982143;2.113839286;6.852678571;23.08705357;25.80580357;2.979910714;1.520089286;22.25;2.955357143;6.747767857;mean
7.2055231;10.65652936;1.088114124;1.127722666;4.784906315;2.722825463;4.453553506;12.91755401;13.93483647;10.74412512;4.709751607;1.614058472;4.792850469;17.67920217;12.29561523;52.23603079;6.80513514;5.44284819;69.21195448;6.99858199;;stdv
